Equipment_ID,Base_ID,Base,Type_ID,Equipment_Type,Category,Status,Last_Service,Next_Service,Fuel_Used_L,Operating_Hours,Maintenance_Cost_INR,Spare_Parts,Readiness_Pct,Downtime_Days,Is_Critical
EQ-1182,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-13,2026-10-11,782,152,77100,Available,91.9,0,0
EQ-1183,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-11,2026-08-10,333,126,17100,Available,97.2,0,0
EQ-1184,B05,Leh,ET06,Artillery Tractor,Heavy Towing,Operational,2026-05-30,2026-08-13,850,219,53200,Low,96.8,0,0
EQ-1185,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-06-19,2026-08-03,358,246,111800,Critical Shortage,63.1,10,0
EQ-1186,B05,Leh,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-02,2026-08-16,853,230,51600,Low,88.0,0,0
EQ-1187,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-25,2026-08-24,495,196,21400,Available,83.8,0,0
EQ-1188,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-07,2026-08-21,383,255,59700,Available,84.3,0,0
EQ-1189,B05,Leh,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-15,2026-08-14,155,152,100700,Available,88.9,0,0
EQ-1190,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-20,2026-09-03,406,119,51600,Critical Shortage,85.4,0,0
EQ-1191,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Out of Service,2026-05-07,2026-08-05,818,172,156000,Available,18.3,41,1
EQ-1192,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Out of Service,2026-06-24,2026-08-08,472,311,127500,Low,34.1,28,1
EQ-1193,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-12,2026-08-11,216,205,107600,Available,85.4,0,0
EQ-1194,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-03,2026-08-17,490,132,48300,Available,92.3,0,0
EQ-1195,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-28,2026-08-27,518,182,18600,Available,93.8,0,0
EQ-1196,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-12,2026-09-10,502,192,17800,Available,94.6,0,0
EQ-1197,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-29,2026-08-13,293,206,59700,Available,97.2,0,0
EQ-1198,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-20,2026-08-19,511,181,20800,Critical Shortage,95.2,0,0
EQ-1199,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-02,2026-08-31,427,177,21200,Available,96.2,0,0
EQ-1200,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-27,2026-09-10,292,191,49700,Available,82.6,0,0
EQ-1201,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-29,2026-09-27,473,191,19300,Critical Shortage,80.7,0,0
EQ-1202,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-07-17,2026-08-31,419,293,97400,Available,45.6,20,1
EQ-1203,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-28,2026-09-11,422,324,61700,Available,87.0,0,0
EQ-1204,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-27,2026-09-25,1118,247,94000,Available,85.8,0,0
EQ-1205,B06,Jodhpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-20,2026-08-04,250,177,50900,Available,92.6,0,0
EQ-1206,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-08-03,2026-11-01,679,148,97600,Critical Shortage,64.1,21,0
EQ-1207,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-21,2026-09-19,570,198,17900,Available,84.6,0,0
EQ-1208,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-18,2026-10-16,1014,220,77600,Available,98.7,0,0
EQ-1209,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-02,2026-08-01,518,198,22300,Available,86.0,0,0
EQ-1210,B03,Bhopal,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-21,2026-09-04,1322,387,67900,Low,95.5,0,0
EQ-1211,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-01,2026-08-30,502,200,18600,Available,92.9,0,0
EQ-1212,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-09,2026-08-23,512,328,75600,Available,83.7,0,0
EQ-1213,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-28,2026-09-26,554,217,22200,Available,81.2,0,0
EQ-1214,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-12,2026-10-10,1017,227,89100,Low,82.4,0,0
EQ-1215,B04,Delhi,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-11,2026-09-09,377,179,136200,Available,83.8,0,0
EQ-1216,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-13,2026-08-27,470,305,49400,Available,83.8,0,0
EQ-1217,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-05,2026-10-03,835,156,78400,Available,94.5,0,0
EQ-1218,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-24,2026-09-07,329,245,51400,Available,84.2,0,0
EQ-1219,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-29,2026-09-27,897,170,79200,Available,89.7,0,0
EQ-1220,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-07,2026-08-06,447,178,20400,Available,88.8,0,0
EQ-1221,B04,Delhi,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-12,2026-08-11,340,310,111200,Available,87.4,0,0
EQ-1222,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-27,2026-08-26,222,90,16400,Available,89.5,0,0
EQ-1223,B03,Bhopal,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-29,2026-09-12,838,229,60000,Available,81.3,0,0
EQ-1224,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-15,2026-09-13,288,102,30800,Critical Shortage,49.1,6,1
EQ-1225,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-12,2026-09-10,391,153,19000,Low,97.8,0,0
EQ-1226,B06,Jodhpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-25,2026-09-08,818,249,66600,Available,93.2,0,0
EQ-1227,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-08-01,2026-10-30,913,198,72100,Available,93.8,0,0
EQ-1228,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-09,2026-08-23,278,195,50500,Available,93.7,0,0
EQ-1229,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-12,2026-08-11,176,159,93800,Available,89.1,0,0
EQ-1230,B07,Siliguri,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-08-04,2026-09-03,271,228,110000,Available,92.3,0,0
EQ-1231,B08,Pune,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-13,2026-08-12,368,158,131200,Available,93.9,0,0
EQ-1232,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-08-04,2026-10-03,512,184,17500,Available,94.3,0,0
EQ-1233,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-26,2026-08-10,351,262,66600,Available,80.3,0,0
EQ-1234,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Out of Service,2026-08-02,2026-10-01,421,145,36600,Available,41.2,42,1
EQ-1235,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Maintenance,2026-07-16,2026-08-15,330,302,226100,Available,45.0,4,1
EQ-1236,B03,Bhopal,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-24,2026-08-23,554,226,131200,Available,93.6,0,0
EQ-1237,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-23,2026-09-06,212,138,45600,Available,94.0,0,0
EQ-1238,B07,Siliguri,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-29,2026-09-12,376,271,48700,Available,92.2,0,0
EQ-1239,B06,Jodhpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-23,2026-09-06,329,220,63300,Available,83.4,0,0
EQ-1240,B08,Pune,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-30,2026-08-14,439,311,58600,Available,97.3,0,0
EQ-1241,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-18,2026-09-16,381,139,18100,Critical Shortage,81.3,0,0
EQ-1242,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-22,2026-09-05,345,253,48500,Available,98.6,0,0
EQ-1243,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-05,2026-09-03,509,197,20900,Available,87.9,0,0
EQ-1244,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-08-04,2026-10-03,599,213,22900,Low,88.1,0,0
EQ-1245,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-21,2026-09-19,334,120,25900,Low,51.1,3,1
EQ-1246,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-10,2026-09-08,832,178,77000,Available,88.3,0,0
EQ-1247,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-09,2026-08-23,302,231,47200,Available,89.7,0,0
EQ-1248,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-14,2026-08-28,300,220,51800,Available,97.0,0,0
EQ-1249,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-31,2026-09-29,687,254,22600,Available,97.3,0,0
EQ-1250,B03,Bhopal,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-20,2026-10-03,797,215,53400,Low,98.2,0,0
EQ-1251,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-29,2026-08-28,314,118,15200,Available,82.8,0,0
EQ-1252,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-06-11,2026-07-26,470,315,100500,Low,49.2,8,1
EQ-1253,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-26,2026-09-24,680,270,37600,Available,58.8,3,1
EQ-1254,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-21,2026-08-05,448,321,60000,Low,83.2,0,0
EQ-1255,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-13,2026-09-26,466,119,49700,Available,86.7,0,0
EQ-1256,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-29,2026-09-27,439,153,20300,Critical Shortage,86.9,0,0
EQ-1257,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-16,2026-07-31,464,336,57800,Available,82.1,0,0
EQ-1258,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-24,2026-08-23,386,143,16000,Available,85.4,0,0
EQ-1259,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-26,2026-08-25,221,217,94200,Low,88.8,0,0
EQ-1260,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-24,2026-08-22,1044,233,79200,Available,81.7,0,0
EQ-1261,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-27,2026-08-11,301,204,50200,Low,95.0,0,0
EQ-1262,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-20,2026-08-19,495,172,20500,Available,98.6,0,0
EQ-1263,B08,Pune,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-05-21,2026-08-19,222,45,85400,Low,58.3,7,1
EQ-1264,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-12,2026-08-11,169,143,83300,Available,84.0,0,0
EQ-1265,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-07-30,2026-09-13,320,244,76700,Available,47.4,20,1
EQ-1266,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-23,2026-08-07,285,185,52000,Low,87.9,0,0
EQ-1267,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-03,2026-09-01,643,248,23700,Available,83.0,0,0
EQ-1268,B05,Leh,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-26,2026-09-24,251,123,130200,Available,91.9,0,0
EQ-1269,B07,Siliguri,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-15,2026-08-29,307,233,59100,Low,91.7,0,0
EQ-1270,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-16,2026-08-15,497,180,17500,Low,95.1,0,0
EQ-1271,B06,Jodhpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-26,2026-09-24,1274,267,78700,Available,86.1,0,0
EQ-1272,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-25,2026-09-08,410,123,48100,Available,84.5,0,0
EQ-1273,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-25,2026-08-24,559,227,23000,Low,93.8,0,0
EQ-1274,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-20,2026-08-04,358,260,51000,Critical Shortage,94.6,0,0
EQ-1275,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-18,2026-09-16,354,130,17400,Low,82.0,0,0
EQ-1276,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-22,2026-10-20,1097,218,74400,Available,81.0,0,0
EQ-1277,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-12,2026-09-10,1031,204,74700,Critical Shortage,83.4,0,0
EQ-1278,B06,Jodhpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-13,2026-08-11,810,164,72000,Available,86.9,0,0
EQ-1279,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-31,2026-10-29,933,198,78500,Critical Shortage,93.3,0,0
EQ-1280,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-21,2026-08-20,375,157,27900,Low,50.8,14,1
EQ-1281,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-13,2026-09-11,473,180,18800,Critical Shortage,96.6,0,0
EQ-1282,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-08-02,2026-09-16,428,299,52600,Available,98.7,0,0
EQ-1283,B03,Bhopal,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-13,2026-09-11,603,274,167500,Low,96.0,0,0
EQ-1284,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-31,2026-09-29,323,119,18900,Low,86.7,0,0
EQ-1285,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-07-16,2026-08-30,512,387,118900,Available,64.1,5,0
EQ-1286,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-12,2026-09-10,244,87,14400,Critical Shortage,80.5,0,0
EQ-1287,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-21,2026-10-19,879,187,75500,Critical Shortage,81.0,0,0
EQ-1288,B06,Jodhpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-14,2026-08-28,446,295,72700,Low,91.4,0,0
EQ-1289,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-12,2026-10-10,996,209,75600,Critical Shortage,97.4,0,0
EQ-1290,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-22,2026-09-05,308,222,50200,Available,87.0,0,0
EQ-1291,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-08-03,2026-10-17,641,184,57900,Low,87.3,0,0
EQ-1292,B05,Leh,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-01,2026-09-14,642,170,46500,Available,84.7,0,0
EQ-1293,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-25,2026-08-24,171,165,85500,Low,91.7,0,0
EQ-1294,B03,Bhopal,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-25,2026-08-24,494,237,149900,Low,86.8,0,0
EQ-1295,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-08-01,2026-08-31,218,212,113500,Critical Shortage,98.9,0,0
EQ-1296,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-20,2026-10-18,833,160,79100,Available,84.7,0,0
EQ-1297,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-29,2026-08-13,481,313,57000,Critical Shortage,93.7,0,0
EQ-1298,B03,Bhopal,ET04,Tactical UAV Launcher,Surveillance Systems,Out of Service,2026-07-23,2026-08-22,253,210,196600,Critical Shortage,40.5,28,1
EQ-1299,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-10,2026-08-09,567,211,20600,Critical Shortage,95.8,0,0
EQ-1300,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-26,2026-08-25,569,203,29900,Low,64.3,4,0
EQ-1301,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-22,2026-09-05,287,210,52800,Available,94.3,0,0
EQ-1302,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-15,2026-08-14,390,149,17200,Available,81.0,0,0
EQ-1303,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-09,2026-09-07,533,208,20700,Low,84.7,0,0
EQ-1304,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-06,2026-08-05,510,202,19600,Available,88.2,0,0
EQ-1305,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-06,2026-08-05,452,174,34000,Available,62.5,4,0
EQ-1306,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-10,2026-08-24,409,267,53600,Available,88.3,0,0
EQ-1307,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-08,2026-09-06,631,232,20500,Available,80.3,0,0
EQ-1308,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-30,2026-09-28,422,148,16600,Available,95.3,0,0
EQ-1309,B08,Pune,ET06,Artillery Tractor,Heavy Towing,Operational,2026-05-22,2026-08-05,745,222,54300,Available,81.8,0,0
EQ-1310,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Out of Service,2026-06-23,2026-08-07,319,247,121600,Critical Shortage,41.3,36,1
EQ-1311,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-25,2026-08-23,935,184,82900,Available,81.7,0,0
EQ-1312,B03,Bhopal,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-12,2026-08-11,261,249,99600,Available,90.8,0,0
EQ-1313,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-07,2026-09-05,1111,236,83300,Critical Shortage,94.3,0,0
EQ-1314,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-15,2026-09-13,555,211,20300,Low,92.5,0,0
EQ-1315,B06,Jodhpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-05,2026-08-04,267,260,115300,Available,98.4,0,0
EQ-1316,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-02,2026-08-01,447,175,29700,Available,56.2,15,1
EQ-1317,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-12,2026-09-10,1092,229,78200,Available,85.6,0,0
EQ-1318,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-19,2026-08-03,322,241,54500,Available,96.8,0,0
EQ-1319,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-28,2026-08-12,416,279,63500,Available,92.1,0,0
EQ-1320,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-18,2026-08-16,935,188,72900,Available,88.2,0,0
EQ-1321,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-09,2026-09-07,967,199,70700,Available,96.6,0,0
EQ-1322,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-24,2026-09-07,422,295,58700,Available,87.0,0,0
EQ-1323,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-13,2026-09-11,737,154,78800,Available,96.8,0,0
EQ-1324,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-18,2026-08-02,576,385,62100,Available,88.4,0,0
EQ-1325,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-15,2026-08-14,342,129,17400,Available,97.1,0,0
EQ-1326,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-26,2026-09-24,320,120,19200,Low,81.1,0,0
EQ-1327,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-05,2026-08-04,551,227,26800,Critical Shortage,49.5,20,1
EQ-1328,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-02,2026-08-01,539,210,19500,Low,88.4,0,0
EQ-1329,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-16,2026-08-15,505,203,21700,Available,96.2,0,0
EQ-1330,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-08-02,2026-10-01,573,203,19400,Available,95.0,0,0
EQ-1331,B06,Jodhpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-10,2026-08-24,700,194,50800,Available,90.9,0,0
EQ-1332,B03,Bhopal,ET05,Mobile Radar Unit,Air Defense,Maintenance,2026-06-11,2026-08-10,328,150,262700,Critical Shortage,65.1,13,0
EQ-1333,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-08-04,2026-11-02,948,198,71900,Available,88.1,0,0
EQ-1334,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Operational,2026-08-02,2026-10-16,605,161,46400,Low,97.1,0,0
EQ-1335,B08,Pune,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-07,2026-08-06,251,243,95000,Available,87.2,0,0
EQ-1336,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-13,2026-09-11,466,168,18300,Critical Shortage,97.6,0,0
EQ-1337,B08,Pune,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-20,2026-08-18,740,153,76000,Low,80.0,0,0
EQ-1338,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-30,2026-09-28,449,160,20000,Available,98.6,0,0
EQ-1339,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-07,2026-10-05,975,215,88600,Critical Shortage,95.8,0,0
EQ-1340,B06,Jodhpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-24,2026-08-23,190,166,88600,Critical Shortage,98.2,0,0
EQ-1341,B06,Jodhpur,ET05,Mobile Radar Unit,Air Defense,Maintenance,2026-06-16,2026-08-15,353,153,196900,Critical Shortage,53.1,10,1
EQ-1342,B07,Siliguri,ET06,Artillery Tractor,Heavy Towing,Operational,2026-05-17,2026-07-31,703,207,55000,Low,91.1,0,0
EQ-1343,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-09,2026-08-23,369,274,54100,Available,94.8,0,0
EQ-1344,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-08,2026-08-07,426,152,31400,Critical Shortage,63.8,14,0
EQ-1345,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-16,2026-10-14,814,171,81400,Available,86.1,0,0
EQ-1346,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-05,2026-09-18,782,206,56000,Available,92.7,0,0
EQ-1347,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-05-09,2026-08-07,547,122,102800,Low,67.7,10,0
EQ-1348,B08,Pune,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-28,2026-08-27,144,124,96300,Available,84.1,0,0
EQ-1349,B06,Jodhpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-27,2026-09-25,730,159,69000,Low,93.4,0,0
EQ-1350,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-14,2026-09-12,426,165,20700,Available,93.4,0,0
EQ-1351,B08,Pune,ET06,Artillery Tractor,Heavy Towing,Maintenance,2026-06-09,2026-08-23,733,210,108500,Available,46.5,10,1
EQ-1352,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-17,2026-08-01,544,348,65200,Available,81.0,0,0
EQ-1353,B08,Pune,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-10,2026-09-23,796,237,59500,Available,91.6,0,0
EQ-1354,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-13,2026-08-27,692,187,57700,Available,87.2,0,0
EQ-1355,B02,Kanpur,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-11,2026-09-09,426,194,150300,Available,90.5,0,0
EQ-1356,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-22,2026-09-05,556,144,48700,Critical Shortage,97.1,0,0
EQ-1357,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-30,2026-08-29,197,194,103200,Available,80.1,0,0
EQ-1358,B08,Pune,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-11,2026-09-09,922,180,80100,Available,82.7,0,0
EQ-1359,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-14,2026-08-13,496,189,17600,Available,84.1,0,0
EQ-1360,B04,Delhi,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-30,2026-08-29,156,153,97700,Available,81.6,0,0
EQ-1361,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-29,2026-09-12,395,291,56200,Low,88.5,0,0
EQ-1362,B05,Leh,ET06,Artillery Tractor,Heavy Towing,Operational,2026-08-03,2026-10-17,1024,271,63700,Available,91.2,0,0
EQ-1363,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-14,2026-09-12,976,189,79600,Low,82.5,0,0
